paper_id,methods,model1,model2,model3,model4,model5,model6
mirna-and-gene-expression-based-cancer,SVM,SVM,,,,,
manifold-regularized-kernel-logistic,"Logistic Regression, SVM",SVM,Logistic Regression,,,,
the-matrix-ridge-approximation-algorithms-and,"Gaussian Process, Spectral Clustering",Gaussian Process,,,,,
a-mapreduce-based-distributed-svm-algorithm,SVM,SVM,,,,,
automated-classification-of-lr-hand-movement,SVM,SVM,,,,,
image-forgery-detection-based-on-the-fusion,SVM,SVM,,,,,
multilabel-classification-through-random,SVM,SVM,,,,,
a-novel-frank-wolfe-algorithm-analysis-and,SVM,SVM,,,,,
flexible-high-dimensional-classification,SVM,SVM,,,,,
accelerated-proximal-stochastic-dual,SVM,SVM,,,,,
structured-learning-of-sum-of-submodular,SVM,SVM,,,,,
visual-saliency-estimation-by-integrating,SVM,SVM,,,,,
modeling-the-stable-operating-envelope-for,SVM,SVM,,,,,
fast-dual-variational-inference-for-non,Gaussian Process,Gaussian Process,,,,,
learning-from-imprecise-and-fuzzy,Logistic Regression,Logistic Regression,,,,,
fixed-rank-matrix-factorizations-and,Linear Regression,Linear Regression,,,,,
experiments-using-belief-functions-and,Logistic Regression,Logistic Regression,,,,,
practical-bayesian-optimization-of-machine,Gaussian Process,Gaussian Process,,,,,
auto-meta-automated-gradient-based-meta,"Tanh Activation, LSTM, Sigmoid Activation, Softmax",LSTM,,,,,
generative-adversarial-networks-for-image-to,"Cycle Consistency Loss, GAN Least Squares Loss, ReLU, Batch Normalization, Tanh Activation, Residual Connection, CycleGAN, Sigmoid Activation, Leaky ReLU, PatchGAN, Instance Normalization, GAN, Convolution, Residual Block",GAN,,,,,
grcan-gradient-boost-convolutional,AutoEncoder,Autoencoder,,,,,
compact-deep-neural-networks-for,SVM,SVM,,,,,
bayesian-deep-learning-on-a-quantum-computer,Gaussian Process,Gaussian Process,,,,,
adversarial-robustness-toolbox-v040,Logistic Regression,Logistic Regression,,,,,
when-gaussian-process-meets-big-data-a-review,Gaussian Process,Gaussian Process,,,,,
breast-cancer-diagnosis-via-classification,"Logistic Regression, SVM",SVM,Logistic Regression,,,,
a-tutorial-on-bayesian-optimization,Gaussian Process,Gaussian Process,,,,,
optimistic-mirror-descent-in-saddle-point,"GAN, Convolution",GAN,,,,,
gaussian-processes-and-kernel-methods-a,Gaussian Process,Gaussian Process,,,,,
ensemble-kalman-filtering-for-online-gaussian,Gaussian Process,Gaussian Process,,,,,
seq2seq2sentiment-multimodal-sequence-to,"Tanh Activation, LSTM, Sigmoid Activation, Seq2Seq",Seq2Seq,LSTM,,,,
emotion-recognition-from-speech-based-on,SVM,SVM,,,,,
a-feature-agnostic-approach-for-glaucoma,Logistic Regression,Logistic Regression,,,,,
a-dataset-of-laryngeal-endoscopic-images-with,"Dilated Convolution, ENet Dilated Bottleneck, ENet, SpatialDropout, PReLU, Softmax, Convolution, Max Pooling, SegNet, ENet Initial Block, 1x1 Convolution, ReLU, ENet Bottleneck, Kaiming Initialization, Batch Normalization",SegNet,,,,,
machine-learning-classifiers-do-not-improve,Logistic Regression,Logistic Regression,,,,,
emulating-malware-authors-for-proactive,"GAN, Convolution",GAN,,,,,
automatic-identification-of-ineffective,Logistic Regression,Logistic Regression,,,,,
comparative-study-of-discrete-wavelet,Logistic Regression,Logistic Regression,,,,,
propensity-score-estimation-using,Logistic Regression,Logistic Regression,,,,,
meta-learning-autoencoders-for-few-shot,AutoEncoder,Autoencoder,,,,,
comparison-of-methods-for-early-readmission,Logistic Regression,Logistic Regression,,,,,
towards-machine-learning-on-data-from,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
machine-learning-of-space-fractional,Gaussian Process,Gaussian Process,,,,,
classification-of-building-information-model,SVM,SVM,,,,,
the-impact-of-imbalanced-training-data-on,Logistic Regression,Logistic Regression,,,,,
global-convergence-to-the-equilibrium-of-gans,"GAN, Convolution",GAN,,,,,
building-a-kannada-pos-tagger-using-machine,"Tanh Activation, CRF, LSTM, Sigmoid Activation, Seq2Seq",Seq2Seq,LSTM,,,,
fundamentals-of-recurrent-neural-network-rnn,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
code-mixed-sentiment-analysis-using-machine,"Logistic Regression, SVM",SVM,Logistic Regression,,,,
cache-telepathy-leveraging-shared-resource,"ResNet, Average Pooling, Dense Connections, Global Average Pooling, VGG, Residual Connection, Bottleneck Residual Block, Convolution, Softmax, Residual Block, Max Pooling, 1x1 Convolution, ReLU, Kaiming Initialization, Dropout, Batch Normalization",VGG,ResNet,,,,
deep-ehr-chronic-disease-prediction-using,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
robust-training-of-recurrent-neural-networks,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
fast-and-accurate-convolutional-neural,"FPN, Convolution, Focal Loss, 1x1 Convolution, RetinaNet",RetinaNet,,,,,
synthetic-patient-generation-a-deep-learning,VAE,VAE,,,,,
predictslums-a-new-model-for-identifying-and,Logistic Regression,Logistic Regression,,,,,
scalable-population-synthesis-with-deep,"AutoEncoder, VAE",VAE,Autoencoder,,,,
memory-time-span-in-lstms-for-multi-speaker,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
extracting-sentiment-attitudes-from,SVM,SVM,,,,,
generalisation-in-humans-and-deep-neural,VGG-19,VGG,VGG-19,,,,
ensemble-learning-applied-to-classify-gps,Gaussian Process,Gaussian Process,,,,,
total-recall-understanding-traffic-signs,SVM,SVM,,,,,
stellar-cluster-detection-using-gmm-with-deep,AutoEncoder,Autoencoder,,,,,
generating-highly-realistic-images-of-skin,"Leaky ReLU, DCGAN, LAPGAN, GAN, Convolution, Laplacian Pyramid, ReLU, Batch Normalization",GAN,DCGAN,,,,
an-efficient-approach-for-polyps-detection-in,"RPN, RoIPool, Convolution, Softmax, Faster R-CNN",CNN,Faster R-CNN,,,,
road-user-abnormal-trajectory-detection-using,AutoEncoder,Autoencoder,,,,,
travel-speed-prediction-with-a-hierarchical,"Tanh Activation, LSTM, Sigmoid Activation, SPEED",LSTM,,,,,
discovering-influential-factors-in,VAE,VAE,,,,,
multi-view-factorization-autoencoder-with,AutoEncoder,Autoencoder,,,,,
an-analysis-of-hierarchical-text,"fastText, SVM",SVM,,,,,
estimate-the-warfarin-dose-by-ensemble-of,Linear Regression,Linear Regression,,,,,
anomaly-detection-with-generative-adversarial,"GAN, Convolution",GAN,,,,,
study-and-observation-of-the-variation-of,SVM,SVM,,,,,
inferring-political-alignments-of-twitter,SVM,SVM,,,,,
a-generalized-representer-theorem-for-hilbert,Gaussian Process,Gaussian Process,,,,,
detecting-hate-speech-and-offensive-language,SVM,SVM,,,,,
graph-laplacian-regularized-graph,GCN,GCN,,,,,
eddi-efficient-dynamic-discovery-of-high,AutoEncoder,Autoencoder,,,,,
set-transformer-a-framework-for-attention,"Dense Connections, Set Transformer, Label Smoothing, Transformer, Multi-Head Attention, Gaussian Process, Residual Connection, Layer Normalization, Scaled Dot-Product Attention, Softmax, Position-Wise Feed-Forward Layer, ReLU, Adam, Absolute Position Encodings, BPE, Dropout, Linear Layer",Transformer,Gaussian Process,,,,
taming-vaes,"GECO, VAE",VAE,,,,,
detecting-satire-in-the-news-with-machine,Logistic Regression,Logistic Regression,,,,,
optimization-algorithm-inspired-deep-neural,"ResNet, Average Pooling, Dense Connections, Global Average Pooling, Concatenated Skip Connection, DenseNet, Residual Connection, Bottleneck Residual Block, Convolution, Residual Block, Softmax, Max Pooling, 1x1 Convolution, ReLU, Dense Block, Kaiming Initialization, Dropout, Batch Normalization",ResNet,DenseNet,,,,
band-assignment-in-dual-band-systems-a,Logistic Regression,Logistic Regression,,,,,
a-machine-learning-based-recommendation,Linear Regression,Linear Regression,,,,,
on-breimans-dilemma-in-neural-networks-phase,"Dense Connections, AlexNet, Softmax, Local Response Normalization, Convolution, Max Pooling, 1x1 Convolution, ReLU, Dropout, Grouped Convolution",AlexNet,,,,,
is-your-statement-purposeless-predicting,SVM,SVM,,,,,
feature-learning-for-fault-detection-in-high,Deep Belief Network,Deep Belief Network,,,,,
mdgan-boosting-anomaly-detection-using-multi,"AutoEncoder, GAN, Convolution",GAN,Autoencoder,,,,
on-kernel-derivative-approximation-with,"PCA, SVM",SVM,,,,,
hunting-for-discriminatory-proxies-in-linear,Linear Regression,Linear Regression,,,,,
sleep-arousal-detection-from-polysomnography,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
gan-augmentation-augmenting-training-data,"GAN, Convolution",GAN,,,,,
change-surfaces-for-expressive,Gaussian Process,Gaussian Process,,,,,
distributive-dynamic-spectrum-access-through,Q-Learning,Q-Learning,,,,,
long-short-term-attention,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
unsupervised-identification-of-disease-marker,AutoEncoder,Autoencoder,,,,,
accelerating-stochastic-training-for-over,"Global Average Pooling, Convolution, Residual Block, Max Pooling, 1x1 Convolution, ReLU, Adam, Kaiming Initialization, Batch Normalization, Residual Connection, Bottleneck Residual Block, ResNet, SGD, Average Pooling",ResNet,,,,,
cross-lingual-transfer-learning-for,"Tanh Activation, LSTM, Sigmoid Activation, ELMo, Softmax, BiLSTM",ELMo,LSTM,BiLSTM,,,
structure-learning-of-deep-neural-networks,"GoogLeNet, Average Pooling, Dense Connections, Inception Module, Auxiliary Classifier, Residual Connection, Q-Learning, Convolution, Residual Block, Softmax, Local Response Normalization, Max Pooling, 1x1 Convolution, ReLU, Dropout, Batch Normalization",GoogleNet,Q-Learning,LeNet,,,
visual-attention-network-for-low-dose-ct,"GAN, Convolution",GAN,,,,,
improving-robustness-of-attention-models-on,GAT,GAT,,,,,
algorithms-for-screening-of-cervical-cancer-a,"k-NN, SVM",SVM,,,,,
reinforcement-learning-based-dynamic-model,Q-Learning,Q-Learning,,,,,
pilae-a-non-gradient-descent-learning-scheme,AutoEncoder,Autoencoder,,,,,
security-for-machine-learning-based-systems,"Dense Connections, Convolution, LeNet",LeNet,,,,,
large-scale-heteroscedastic-regression-via,Gaussian Process,Gaussian Process,,,,,
real-time-traffic-data-prediction-with-basic,"Tanh Activation, LSTM, Sigmoid Activation, SPEED",LSTM,,,,,
md-gan-multi-discriminator-generative,"GAN, Convolution",GAN,,,,,
identification-of-internal-faults-in-indirect,"Dense Connections, Label Smoothing, Transformer, Multi-Head Attention, Residual Connection, Layer Normalization, Scaled Dot-Product Attention, Softmax, Position-Wise Feed-Forward Layer, Adam, ReLU, Absolute Position Encodings, Dropout, BPE, Linear Layer",Transformer,,,,,
multi-source-neural-variational-inference,AutoEncoder,Autoencoder,,,,,
reset-learning-recurrent-dynamic-routing-in,"Global Average Pooling, Convolution, Residual Block, Max Pooling, 1x1 Convolution, ReLU, Kaiming Initialization, Batch Normalization, Residual Connection, Bottleneck Residual Block, ResNet, Average Pooling",ResNet,,,,,
gpipe-efficient-training-of-giant-neural,"Average Pooling, Dense Connections, Label Smoothing, AmoebaNet, Transformer, Multi-Head Attention, Residual Connection, Layer Normalization, Scaled Dot-Product Attention, Softmax, Convolution, Max Pooling, Spatially Separable Convolution, Position-Wise Feed-Forward Layer, Adam, ReLU, GPipe, Absolute Position Encodings, Dropout, BPE, Linear Layer",Transformer,,,,,
synthetic-lung-nodule-3d-image-generation,AutoEncoder,Autoencoder,,,,,
model-change-detection-with-application-to,Logistic Regression,Logistic Regression,,,,,
dancing-in-the-dark-private-multi-party,Logistic Regression,Logistic Regression,,,,,
combining-deep-learning-and-qualitative,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
gansfer-learning-combining-labelled-and,"GAN, Convolution",GAN,,,,,
few-shot-generalization-across-dialogue-tasks,"Content-based Attention, Tanh Activation, LSTM, Sigmoid Activation, Softmax, Location-based Attention, Neural Turing Machine",LSTM,,,,,
a-deep-latent-variable-model-application-to,AutoEncoder,Autoencoder,,,,,
multi-scale-distributed-representation-for,"Attention Gate, Deep Ensembles, Attention Mesh",Ensemble,GAT,,,,
beyond-inferring-class-representatives-user,"GAN, Convolution",GAN,,,,,
a-system-for-automated-image-editing-from,"Tanh Activation, LSTM, Sigmoid Activation, SVM",SVM,LSTM,,,,
feature-selection-based-on-unique-relevant,"PCA, AutoEncoder",Autoencoder,,,,,
wireless-data-acquisition-for-edge-learning,SVM,SVM,,,,,
gadget-svm-a-gossip-based-sub-gradient-solver,SVM,SVM,,,,,
combatting-adversarial-attacks-through,AutoEncoder,Autoencoder,,,,,
eeg-classification-based-on-image,SVM,SVM,,,,,
generation-of-synthetic-electronic-medical,"REINFORCE, GAN, Convolution",GAN,,,,,
utilizing-imbalanced-data-and-classification,SVM,SVM,,,,,
voice-disorder-detection-using-long-short,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
the-limitations-of-model-uncertainty-in,Gaussian Process,Gaussian Process,,,,,
deep-anomaly-detection-with-outlier-exposure,"Global Average Pooling, Convolution, Residual Block, Max Pooling, 1x1 Convolution, ReLU, Kaiming Initialization, Batch Normalization, Bottleneck Residual Block, Residual Connection, ResNet, Average Pooling",ResNet,,,,,
algorithmic-theory-of-odes-and-sampling-from,Logistic Regression,Logistic Regression,,,,,
ecological-data-analysis-based-on-machine,Logistic Regression,Logistic Regression,,,,,
somm-into-the-model,"Tanh Activation, LSTM, Sigmoid Activation, BiLSTM",LSTM,BiLSTM,,,,
scalable-wide-and-deep-learning-for-computer,Logistic Regression,Logistic Regression,,,,,
plusemo2vec-at-semeval-2018-task-1-exploiting-1,Logistic Regression,Logistic Regression,,,,,
mitre-at-semeval-2017-task-1-simple-semantic,Linear Regression,Linear Regression,,,,,
svnit-semeval-2017-task-6-learning-a-sense-of,SVM,SVM,,,,,
hlpupenn-at-semeval-2017-task-4a-a-simple,SVM,SVM,,,,,
duth-at-semeval-2017-task-5-sentiment,Linear Regression,Linear Regression,,,,,
nilc-at-cwi-2018-exploring-feature,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
named-entity-recognition-for-hindi-english,"Tanh Activation, CRF, LSTM, Sigmoid Activation",LSTM,,,,,
economic-event-detection-in-company-specific,SVM,SVM,,,,,
aggressive-language-identification-using-word,CharacterBERT,BERT,,,,,
merging-datasets-for-aggressive-text,Logistic Regression,Logistic Regression,,,,,
automatic-identification-of-drugs-and-adverse,"Tanh Activation, LSTM, Sigmoid Activation, BiLSTM, SVM",SVM,LSTM,BiLSTM,,,
a-hybrid-pipeline-of-rules-and-machine,Logistic Regression,Logistic Regression,,,,,
the-use-of-object-labels-and-spatial,"R-CNN, Convolution, Max Pooling, SVM",SVM,CNN,,,,
automatic-classification-of-doctor-patient,SVM,SVM,,,,,
predicting-news-values-from-headline-text-and,SVM,SVM,,,,,
dmgroup-at-emoint-2017-emotion-intensity,Linear Regression,Linear Regression,,,,,
automatic-construction-of-large-readability,Logistic Regression,Logistic Regression,,,,,
qcri-dsl-2016-spoken-arabic-dialect,"Logistic Regression, SVM",SVM,Logistic Regression,,,,
cancer-hallmark-text-classification-using,SVM,SVM,,,,,
attending-sentences-to-detect-satirical-fake,"Tanh Activation, GRU, LSTM, Sigmoid Activation, SVM",SVM,GRU,LSTM,,,
iiit-h-at-ijcnlp-2017-task-4-customer,"Tanh Activation, fastText, LSTM, Sigmoid Activation, GloVe, SVM",SVM,LSTM,,,,
bml-a-high-performance-low-cost-gradient,"VGG-19, SPEED",VGG,VGG-19,,,,
best-response-regression,Linear Regression,Linear Regression,,,,,
bayesian-optimization-with-robust-bayesian,Gaussian Process,Gaussian Process,,,,,
dual-decomposed-learning-with-factorwise,SVM,SVM,,,,,
sparse-linear-programming-via-primal-and-dual,SVM,SVM,,,,,
learning-structured-output-representation,"Stochastic Gradient Variational Bayes, cVAE",VAE,,,,,
communication-efficient-distributed-machine,"Logistic Regression, ICA",Logistic Regression,,,,,
high-dimensional-gaussian-process-bandits,Gaussian Process,Gaussian Process,,,,,
distributed-submodular-maximization-1,Gaussian Process,Gaussian Process,,,,,
kernel-latent-svm-for-visual-recognition,SVM,SVM,,,,,
dimensionality-dependent-pac-bayes-margin,SVM,SVM,,,,,
the-lovasz-function-svms-and-finding-large,SVM,SVM,,,,,
non-asymptotic-analysis-of-stochastic,Logistic Regression,Logistic Regression,,,,,
variational-gaussian-process-dynamical,Gaussian Process,Gaussian Process,,,,,
self-paced-learning-for-latent-variable,SVM,SVM,,,,,
identifying-patients-at-risk-of-major-adverse,SVM,SVM,,,,,
ranking-measures-and-loss-functions-in,SVM,SVM,,,,,
privacy-preserving-logistic-regression,Logistic Regression,Logistic Regression,,,,,
a-massively-parallel-digital-learning,"SPEED, SVM",SVM,,,,,
modeling-human-function-learning-with,"Gaussian Process, Linear Regression",Linear Regression,Gaussian Process,,,,
coding-kendalls-shape-trajectories-for-3d,"Tanh Activation, LSTM, Sigmoid Activation, SVM",SVM,LSTM,,,,
state-frequency-memory-recurrent-neural,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
high-dimensional-bayesian-optimization-with,Gaussian Process,Gaussian Process,,,,,
structured-variationally-auto-encoded,Gaussian Process,Gaussian Process,,,,,
autoprognosis-automated-clinical-prognostic-1,Gaussian Process,Gaussian Process,,,,,
randomized-block-cubic-newton-method,Logistic Regression,Logistic Regression,,,,,
aligning-artificial-neural-networks-to-the,"Dense Connections, AlexNet, Softmax, Local Response Normalization, Convolution, Max Pooling, 1x1 Convolution, ReLU, Dropout, Grouped Convolution",AlexNet,,,,,
rethinking-learning-rate-schedules-for,Linear Regression,Linear Regression,,,,,
optimistic-mirror-descent-in-saddle-point-1,"GAN, Convolution",GAN,,,,,
understand-the-dynamics-of-gans-via-primal,"GAN, Convolution",GAN,,,,,
learning-latent-semantic-representation-from,"GAN, VAE, Convolution",GAN,VAE,,,,
bigsage-unsupervised-inductive-representation,GraphSAGE,GraphSAGE,,,,,
latent-domain-transfer-crossing-modalities,AutoEncoder,Autoencoder,,,,,
an-exhaustive-analysis-of-lazy-vs-eager,"Linear Regression, PCA, SVM",SVM,Linear Regression,,,,
physiological-signal-embeddings-phase-via,AutoEncoder,Autoencoder,,,,,
deep-autoencoding-gaussian-mixture-model-for,AutoEncoder,Autoencoder,,,,,
latentpoison-adversarial-attacks-on-the-1,AutoEncoder,Autoencoder,,,,,
deep-temporal-clustering-fully-unsupervised-1,AutoEncoder,Autoencoder,,,,,
parallelized-interactive-machine-learning-on,"DQN, Dense Connections, SPEED, Q-Learning, Convolution",Q-Learning,,,,,
artificial-neural-networks-condensation-a,"Pruning, Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
fault-location-in-power-distribution-systems,GCN,GCN,,,,,
towards-resilient-machine-learning-for,"GAN, Convolution",GAN,,,,,
identification-of-character-adjectives-from,Logistic Regression,Logistic Regression,,,,,
classification-of-radiology-reports-by,Logistic Regression,Logistic Regression,,,,,
learning-a-generator-model-from-terminal-bus,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
performance-of-three-slim-variants-of-the,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
soft-autoencoder-and-its-wavelet-shrinkage,AutoEncoder,Autoencoder,,,,,
solving-large-scale-l1-regularized-svms-and,SVM,SVM,,,,,
deep-reinforcement-learning-for-imbalanced,"DQN, Dense Connections, Q-Learning, Convolution",Q-Learning,,,,,
tree-tensor-networks-for-generative-modeling,"Restricted Boltzmann Machine, VAE, PixelCNN",VAE,CNN,,,,
dppnet-approximating-determinantal-point,"Dense Connections, Label Smoothing, Transformer, Multi-Head Attention, Residual Connection, Layer Normalization, Scaled Dot-Product Attention, Softmax, Position-Wise Feed-Forward Layer, Adam, ReLU, Absolute Position Encodings, Dropout, BPE, Linear Layer",Transformer,,,,,
choosing-the-right-word-using-bidirectional,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
short-term-forecasting-of-italian-residential,Gaussian Process,Gaussian Process,,,,,
gaussian-processes-with-linear-operator,Gaussian Process,Gaussian Process,,,,,
detecting-overfitting-of-deep-generative,"GAN, Convolution",GAN,,,,,
spectrogram-feature-losses-for-music-source,"Dense Connections, Convolution, Softmax, VGG, Max Pooling, ReLU, Dropout",VGG,,,,,
mad-gan-multivariate-anomaly-detection-for,"GAN, Convolution",GAN,,,,,
tactilegcn-a-graph-convolutional-network-for,Graph Neural Network,GNN,,,,,
protein-classification-using-machine-learning,SVM,SVM,,,,,
exploring-semi-supervised-variational,AutoEncoder,Autoencoder,,,,,
a-semi-supervised-machine-learning-approach,Logistic Regression,Logistic Regression,,,,,
the-autofeat-python-library-for-automatic,Linear Regression,Linear Regression,,,,,
synthesizing-facial-photometries-and,"GAN, Convolution",GAN,,,,,
evaluating-the-state-of-the-art-of-end-to-end,"Tanh Activation, LSTM, Sigmoid Activation, Seq2Seq",Seq2Seq,LSTM,,,,
using-cyclegans-for-effectively-reducing,"Cycle Consistency Loss, GAN Least Squares Loss, ReLU, Batch Normalization, Tanh Activation, Residual Connection, CycleGAN, Sigmoid Activation, Leaky ReLU, PatchGAN, Instance Normalization, Convolution, Residual Block",GAN,,,,,
extracting-pico-elements-from-rct-abstracts,SVM,SVM,,,,,
deep-learning-on-attributed-graphs-a-journey,AutoEncoder,Autoencoder,,,,,
deep-mean-functions-for-meta-learning-in,"Gaussian Process, PCA",Gaussian Process,,,,,
support-feature-machines,SVM,SVM,,,,,
deep-neural-decision-forests,"GoogLeNet, Average Pooling, Dense Connections, Inception Module, Softmax, Local Response Normalization, Convolution, Max Pooling, 1x1 Convolution, ReLU, Dropout, Auxiliary Classifier",GoogleNet,LeNet,,,,
steerable-wavelet-scattering-for-3d-atomic,Linear Regression,Linear Regression,,,,,
heartbeat-anomaly-detection-using-adversarial,"Feedforward Network, InfoGAN, SMOTE, Leaky ReLU, Dense Connections, Softmax, ReLU",GAN,,,,,
short-term-demand-forecasting-for-online-car,"Tanh Activation, GRU, LSTM, Sigmoid Activation",GRU,LSTM,,,,
deep-recurrent-factor-model-interpretable-non,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
compressing-gans-using-knowledge-distillation,"GAN, Convolution",GAN,,,,,
hop-heterogeneity-aware-decentralized,SVM,SVM,,,,,
right-for-the-wrong-reasons-diagnosing,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,,,,,
universal-lemmatizer-a-sequence-to-sequence,AutoEncoder,Autoencoder,,,,,
medical-diagnosis-with-a-novel-svm-codoa,SVM,SVM,,,,,
temporal-convolutional-networks-and-dynamic,Gaussian Process,Gaussian Process,,,,,
polyphonic-music-composition-with-lstm-neural,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
qp-wasserstein-gans-comparing-ground-metrics,"WGAN, Convolution",GAN,,,,,
assessing-the-local-interpretability-of,Logistic Regression,Logistic Regression,,,,,
yes-we-gan-applying-adversarial-techniques,"GAN, Convolution",GAN,,,,,
extended-2d-volumetric-consensus-hippocampus,"Dense Connections, U-Net, Concatenated Skip Connection, Convolution, Softmax, VGG, Max Pooling, ReLU, Dropout, Batch Normalization",VGG,,,,,
scaling-limits-of-wide-neural-networks-with,"Gaussian Process, SGD",Gaussian Process,,,,,
differential-description-length-for,"Linear Regression, MDL",Linear Regression,,,,,
progressively-growing-generative-adversarial,"GAN, Convolution",GAN,,,,,
improving-deep-image-clustering-with-spatial,"Dense Connections, Label Smoothing, Transformer, Multi-Head Attention, Residual Connection, Layer Normalization, Scaled Dot-Product Attention, Spatial Transformer, Softmax, Position-Wise Feed-Forward Layer, Adam, ReLU, Absolute Position Encodings, Dropout, BPE, Linear Layer",Transformer,,,,,
svm-based-deep-stacking-networks,SVM,SVM,,,,,
prediction-of-porosity-and-permeability,Linear Regression,Linear Regression,,,,,
learning-compositional-representations-of,"PCA, Restricted Boltzmann Machine, VAE, ICA",VAE,,,,,
a-semi-supervised-deep-residual-network-for,"Global Average Pooling, Convolution, Residual Block, Max Pooling, 1x1 Convolution, ReLU, Kaiming Initialization, Batch Normalization, Residual Connection, Bottleneck Residual Block, ResNet, Average Pooling",ResNet,,,,,
multi-agent-dual-learning,"Dense Connections, Label Smoothing, Transformer, Multi-Head Attention, Residual Connection, Layer Normalization, Scaled Dot-Product Attention, Softmax, Position-Wise Feed-Forward Layer, Adam, ReLU, Absolute Position Encodings, Dropout, BPE, Linear Layer",Transformer,,,,,
revealing-quantum-chaos-with-machine-learning,AutoEncoder,Autoencoder,,,,,
nonlinear-generalization-of-the-single-index,Linear Regression,Linear Regression,,,,,
when-relaxations-go-bad-differentially,Logistic Regression,Logistic Regression,,,,,
a-new-approach-to-automatic-disc-localization,SVM,SVM,,,,,
virtual-adversarial-training-on-graph,GCN,GCN,,,,,
enhancing-the-robustness-of-deep-neural,"GAN, Convolution",GAN,,,,,
deep-learning-and-gaussian-process-based-band,Gaussian Process,Gaussian Process,,,,,
financial-series-prediction-using-attention,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
stability-of-decision-trees-and-logistic,Logistic Regression,Logistic Regression,,,,,
gap-generalizable-approximate-graph,"ResNet, Average Pooling, Dense Connections, Global Average Pooling, VGG, Residual Connection, Bottleneck Residual Block, Residual Block, Convolution, Softmax, Max Pooling, 1x1 Convolution, ReLU, Kaiming Initialization, Dropout, Batch Normalization",VGG,ResNet,,,,
high-fidelity-image-generation-with-fewer,"BigGAN, GAN Hinge Loss, Spectral Normalization, Dense Connections, Projection Discriminator, Non-Local Block, Residual Connection, Feedforward Network, TTUR, Conditional Batch Normalization, SAGAN Self-Attention Module, Early Stopping, SAGAN, Dot-Product Attention, Convolution, Residual Block, Softmax, Non-Local Operation, 1x1 Convolution, Adam, Off-Diagonal Orthogonal Regularization, ReLU, Batch Normalization, Linear Layer, Truncation Trick",GAN,BigGAN,,,,
representative-task-self-selection-for,AutoEncoder,Autoencoder,,,,,
learning-heuristics-over-large-graphs-via,Q-Learning,Q-Learning,,,,,
nowcasting-recessions-using-the-svm-machine,SVM,SVM,,,,,
program-classification-using-gated-graph,Graph Neural Network,GNN,,,,,
machine-learning-based-prediction-and,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
financial-applications-of-gaussian-processes,Gaussian Process,Gaussian Process,,,,,
personal-dynamic-cost-aware-sensing-for,"Linear Regression, AutoEncoder",Linear Regression,Autoencoder,,,,
gee-a-gradient-based-explainable-variational,AutoEncoder,Autoencoder,,,,,
dyslexml-screening-tool-for-dyslexia-using,SVM,SVM,,,,,
inefficiency-of-k-fac-for-large-batch-size,"ResNet, Average Pooling, Dense Connections, AlexNet, Global Average Pooling, Grouped Convolution, Residual Connection, Bottleneck Residual Block, SGD, Convolution, Residual Block, Softmax, Local Response Normalization, Max Pooling, 1x1 Convolution, ReLU, Kaiming Initialization, Dropout, Batch Normalization",ResNet,AlexNet,,,,
deep-gaussian-processes-for-multi-fidelity,Gaussian Process,Gaussian Process,,,,,
emotion-recognition-with-machine-learning,SVM,SVM,,,,,
training-recurrent-neural-networks-robust-to,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
automatic-classification-of-pathology-reports,"Logistic Regression, SVM",SVM,Logistic Regression,,,,
improved-robustness-of-reinforcement-learning,"Q-Learning, ReLU",Q-Learning,,,,,
signal-demodulation-with-machine-learning,Deep Belief Network,Deep Belief Network,,,,,
sentiment-analysis-on-imdb-movie-comments-and,SVM,SVM,,,,,
interpretation-of-machine-learning,Logistic Regression,Logistic Regression,,,,,
detecting-activities-of-daily-living-and,SVM,SVM,,,,,
a-proof-of-convergence-of-multi-class,Logistic Regression,Logistic Regression,,,,,
question-embeddings-based-on-shannon-entropy,"Logistic Regression, fastText",Logistic Regression,,,,,
